workload_id,memory_mb,target_duration_sec,alloc_time_sec,exec_time_sec,free_time_sec,total_time_sec,trial,arrival_time,completion_time,turnaround_time,status
job_1,1024,2,0.008713006973266602,2.5377979278564453,0.6866393089294434,3.2331502437591553,0,0.0013494491577148438,3.234510898590088,3.233161449432373,success
job_2,1024,2,0.06948971748352051,2.663240432739258,0.06702685356140137,2.7997570037841797,0,0.5016224384307861,3.3013997077941895,2.7997772693634033,success
job_3,1024,2,0.40347886085510254,2.475890636444092,0.34378719329833984,3.223156690597534,0,1.0046579837799072,4.22783088684082,3.223172903060913,success
job_4,1024,2,0.7383735179901123,2.098407030105591,0.08606767654418945,2.9228482246398926,0,1.5047900676727295,4.427652359008789,2.9228622913360596,success
job_1,1024,2,0.006472349166870117,2.537172317504883,0.6841270923614502,3.227771759033203,1,0.0004680156707763672,3.228252649307251,3.2277846336364746,success
job_2,1024,2,0.06660723686218262,2.6606452465057373,0.08810210227966309,2.815354585647583,1,0.5008394718170166,3.316211700439453,2.8153722286224365,success
job_3,1024,2,0.40320777893066406,2.7346763610839844,0.20943093299865723,3.3473150730133057,1,1.0009045600891113,4.348233938217163,3.3473293781280518,success
job_4,1024,2,0.7364518642425537,2.1095666885375977,0.07288980484008789,2.9189083576202393,1,1.5020761489868164,4.4209983348846436,2.918922185897827,success
job_1,1024,2,0.007524728775024414,2.5348408222198486,0.6754376888275146,3.2178032398223877,2,0.0004603862762451172,3.2182724475860596,3.2178120613098145,success
job_2,1024,2,0.0658426284790039,2.649768590927124,0.0684804916381836,2.7840917110443115,2,0.502549409866333,3.286660671234131,2.784111261367798,success
job_3,1024,2,0.400759220123291,2.465528964996338,0.3366727828979492,3.202960968017578,2,1.0026745796203613,4.205663442611694,3.202988862991333,success
job_4,1024,2,0.7358298301696777,2.0821681022644043,0.08348464965820312,2.901482582092285,2,1.5027275085449219,4.404222011566162,2.9014945030212402,success
