workload_id,memory_mb,target_duration_sec,alloc_time_sec,exec_time_sec,free_time_sec,total_time_sec,trial,arrival_time,execution_start,completion_time,turnaround_time,wait_time
job_1,1024,2,0.19249844551086426,1.9853298664093018,0.09486603736877441,2.2726943492889404,0,0.0,0.0,2.272707462310791,2.272707462310791,0.0
job_2,1024,2,0.0065801143646240234,1.979656457901001,0.10115742683410645,2.0873939990997314,0,0.0,2.272707462310791,4.360116004943848,4.360116004943848,2.272707462310791
job_3,1024,2,0.006196498870849609,1.9790587425231934,0.09867620468139648,2.0839314460754395,0,0.0,4.360116004943848,6.444054841995239,6.444054841995239,4.360116004943848
job_4,1024,2,0.0062787532806396484,1.9788546562194824,0.13387703895568848,2.1190104484558105,0,0.0,6.444054841995239,8.563073635101318,8.563073635101318,6.444054841995239
job_1,1024,2,0.0064122676849365234,1.978337287902832,0.10487794876098633,2.089627504348755,1,0.0,0.0,2.0896387100219727,2.0896387100219727,0.0
job_2,1024,2,0.0064280033111572266,1.977973222732544,0.10288453102111816,2.0872857570648193,1,0.0,2.0896387100219727,4.176933288574219,4.176933288574219,2.0896387100219727
job_3,1024,2,0.007421016693115234,1.9770383834838867,0.1037454605102539,2.088204860687256,1,0.0,4.176933288574219,6.265146732330322,6.265146732330322,4.176933288574219
job_4,1024,2,0.006279945373535156,1.9767134189605713,0.11548852920532227,2.0984818935394287,1,0.0,6.265146732330322,8.36363673210144,8.36363673210144,6.265146732330322
job_1,1024,2,0.007045745849609375,1.9764668941497803,0.09509491920471191,2.0786075592041016,2,0.0,0.0,2.0786187648773193,2.0786187648773193,0.0
job_2,1024,2,0.007470130920410156,1.9764766693115234,0.10175132751464844,2.085698127746582,2,0.0,2.0786187648773193,4.164324760437012,4.164324760437012,2.0786187648773193
job_3,1024,2,0.006157875061035156,1.975935935974121,0.10442399978637695,2.086517810821533,2,0.0,4.164324760437012,6.250851154327393,6.250851154327393,4.164324760437012
job_4,1024,2,0.006330728530883789,1.9754834175109863,0.0972287654876709,2.079042911529541,2,0.0,6.250851154327393,8.329917192459106,8.329917192459106,6.250851154327393
