trial,workload_id,memory_mb,arrival_time,completion_time,turnaround_time,status
0,small_1,341,0.0004563331604003906,1.028233289718628,1.0277769565582275,success
0,small_2,341,1.0007803440093994,2.0590858459472656,1.0583055019378662,success
0,large_1,1024,0.5007021427154541,3.527229070663452,3.026526927947998,success
0,large_2,1024,1.5008478164672852,4.558835506439209,3.057987689971924,success
1,small_1,341,0.0004799365997314453,1.0316689014434814,1.03118896484375,success
1,small_2,341,1.0008342266082764,2.0745956897735596,1.0737614631652832,success
1,large_1,1024,0.5016601085662842,3.5232112407684326,3.0215511322021484,success
1,large_2,1024,1.5009031295776367,4.549589395523071,3.0486862659454346,success
2,small_1,341,0.0005052089691162109,1.0290296077728271,1.028524398803711,success
2,small_2,341,1.0008559226989746,2.05804443359375,1.0571885108947754,success
2,large_1,1024,0.5008039474487305,3.5555009841918945,3.054697036743164,success
2,large_2,1024,1.500932216644287,4.557535648345947,3.05660343170166,success
3,small_1,341,0.0004444122314453125,1.028158187866211,1.0277137756347656,success
3,small_2,341,1.0007987022399902,2.0579864978790283,1.057187795639038,success
3,large_1,1024,0.5007119178771973,3.5408756732940674,3.04016375541687,success
3,large_2,1024,1.5008602142333984,4.5175254344940186,3.01666522026062,success
4,small_1,341,0.0003879070281982422,1.027787685394287,1.0273997783660889,success
4,small_2,341,1.0007834434509277,2.084529161453247,1.0837457180023193,success
4,large_1,1024,0.5007121562957764,3.5089468955993652,3.008234739303589,success
4,large_2,1024,1.5020701885223389,4.537549018859863,3.0354788303375244,success
5,small_1,341,0.0004360675811767578,1.0282316207885742,1.0277955532073975,success
5,small_2,341,1.0007827281951904,2.0856869220733643,1.0849041938781738,success
5,large_1,1024,0.5007131099700928,3.5410869121551514,3.0403738021850586,success
5,large_2,1024,1.5008478164672852,4.546205759048462,3.0453579425811768,success
6,small_1,341,0.0004680156707763672,1.0309078693389893,1.030439853668213,success
6,small_2,341,1.002342939376831,2.063985586166382,1.0616426467895508,success
6,large_1,1024,0.5021626949310303,3.5455257892608643,3.043363094329834,success
6,large_2,1024,1.5024607181549072,4.54265832901001,3.0401976108551025,success
7,small_1,341,0.0005667209625244141,1.0282855033874512,1.0277187824249268,success
7,small_2,341,1.0031664371490479,2.0556411743164062,1.0524747371673584,success
7,large_1,1024,0.500584602355957,3.560542106628418,3.059957504272461,success
7,large_2,1024,1.5031657218933105,4.559977769851685,3.056812047958374,success
8,small_1,341,0.0004923343658447266,1.0309906005859375,1.0304982662200928,success
8,small_2,341,1.002974033355713,2.08500337600708,1.0820293426513672,success
8,large_1,1024,0.5029661655426025,3.5373005867004395,3.034334421157837,success
8,large_2,1024,1.5019619464874268,4.558251857757568,3.0562899112701416,success
9,small_1,341,0.0005917549133300781,1.0283989906311035,1.0278072357177734,success
9,small_2,341,1.0020825862884521,2.09002423286438,1.0879416465759277,success
9,large_1,1024,0.5005733966827393,3.519834041595459,3.0192606449127197,success
9,large_2,1024,1.5020818710327148,4.554182529449463,3.052100658416748,success
10,small_1,341,0.0005981922149658203,1.0285935401916504,1.0279953479766846,success
10,small_2,341,1.002579927444458,2.06272292137146,1.060142993927002,success
10,large_1,1024,0.5005884170532227,3.5386037826538086,3.038015365600586,success
10,large_2,1024,1.5009369850158691,4.564519882202148,3.0635828971862793,success
11,small_1,341,0.0005116462707519531,1.0286657810211182,1.0281541347503662,success
11,small_2,341,1.000842571258545,2.091212034225464,1.090369462966919,success
11,large_1,1024,0.5007891654968262,3.5414273738861084,3.0406382083892822,success
11,large_2,1024,1.5009057521820068,4.541680097579956,3.040774345397949,success
