trial,workload_id,memory_mb,arrival_time,completion_time,turnaround_time,wait_time,status
0,small_1,341,0.0,1.0041413307189941,1.0041413307189941,0.0,success
0,large_1,1024,0.0,4.011005401611328,4.011005401611328,1.0041413307189941,success
0,small_2,341,0.0,5.014651536941528,5.014651536941528,4.011005401611328,success
0,large_2,1024,0.0,8.018904209136963,8.018904209136963,5.014651536941528,success
1,small_1,341,0.0,1.0039386749267578,1.0039386749267578,0.0,success
1,large_1,1024,0.0,4.010194540023804,4.010194540023804,1.0039386749267578,success
1,small_2,341,0.0,5.0168256759643555,5.0168256759643555,4.010194540023804,success
1,large_2,1024,0.0,8.02308988571167,8.02308988571167,5.0168256759643555,success
2,small_1,341,0.0,1.0050432682037354,1.0050432682037354,0.0,success
2,large_1,1024,0.0,4.009935140609741,4.009935140609741,1.0050432682037354,success
2,small_2,341,0.0,5.013755559921265,5.013755559921265,4.009935140609741,success
2,large_2,1024,0.0,8.021209001541138,8.021209001541138,5.013755559921265,success
3,small_1,341,0.0,1.0040295124053955,1.0040295124053955,0.0,success
3,large_1,1024,0.0,4.009596824645996,4.009596824645996,1.0040295124053955,success
3,small_2,341,0.0,5.0132222175598145,5.0132222175598145,4.009596824645996,success
3,large_2,1024,0.0,8.01950478553772,8.01950478553772,5.0132222175598145,success
4,small_1,341,0.0,1.0091197490692139,1.0091197490692139,0.0,success
4,large_1,1024,0.0,4.015625,4.015625,1.0091197490692139,success
4,small_2,341,0.0,5.019329786300659,5.019329786300659,4.015625,success
4,large_2,1024,0.0,8.025491952896118,8.025491952896118,5.019329786300659,success
5,small_1,341,0.0,1.003769874572754,1.003769874572754,0.0,success
5,large_1,1024,0.0,4.013475656509399,4.013475656509399,1.003769874572754,success
5,small_2,341,0.0,5.0173866748809814,5.0173866748809814,4.013475656509399,success
5,large_2,1024,0.0,8.023009300231934,8.023009300231934,5.0173866748809814,success
6,small_1,341,0.0,1.0048789978027344,1.0048789978027344,0.0,success
6,large_1,1024,0.0,4.011896133422852,4.011896133422852,1.0048789978027344,success
6,small_2,341,0.0,5.012122392654419,5.012122392654419,4.011896133422852,success
6,large_2,1024,0.0,8.01883602142334,8.01883602142334,5.012122392654419,success
7,small_1,341,0.0,1.0042123794555664,1.0042123794555664,0.0,success
7,large_1,1024,0.0,4.0099732875823975,4.0099732875823975,1.0042123794555664,success
7,small_2,341,0.0,5.014102220535278,5.014102220535278,4.0099732875823975,success
7,large_2,1024,0.0,8.021619319915771,8.021619319915771,5.014102220535278,success
8,small_1,341,0.0,1.0039913654327393,1.0039913654327393,0.0,success
8,large_1,1024,0.0,4.010286092758179,4.010286092758179,1.0039913654327393,success
8,small_2,341,0.0,5.014725923538208,5.014725923538208,4.010286092758179,success
8,large_2,1024,0.0,8.02066969871521,8.02066969871521,5.014725923538208,success
9,small_1,341,0.0,1.0007843971252441,1.0007843971252441,0.0,success
9,large_1,1024,0.0,4.009544610977173,4.009544610977173,1.0007843971252441,success
9,small_2,341,0.0,5.013386011123657,5.013386011123657,4.009544610977173,success
9,large_2,1024,0.0,8.018401145935059,8.018401145935059,5.013386011123657,success
10,small_1,341,0.0,1.004152774810791,1.004152774810791,0.0,success
10,large_1,1024,0.0,4.011329650878906,4.011329650878906,1.004152774810791,success
10,small_2,341,0.0,5.016406059265137,5.016406059265137,4.011329650878906,success
10,large_2,1024,0.0,8.023101806640625,8.023101806640625,5.016406059265137,success
11,small_1,341,0.0,1.004401445388794,1.004401445388794,0.0,success
11,large_1,1024,0.0,4.0093677043914795,4.0093677043914795,1.004401445388794,success
11,small_2,341,0.0,5.013761281967163,5.013761281967163,4.0093677043914795,success
11,large_2,1024,0.0,8.01984691619873,8.01984691619873,5.013761281967163,success
