workload_id,memory_mb,target_duration_sec,alloc_time_sec,exec_time_sec,free_time_sec,total_time_sec,trial,submission_time,completion_time,turnaround_time
small_1,512,1,0.004799842834472656,0.9129276275634766,0.09983301162719727,1.0175604820251465,0,1.6689300537109375e-06,1.0175707340240479,1.0175690650939941
large_1,1536,3,0.008286476135253906,3.0205702781677246,0.10061955451965332,3.129476308822632,0,1.0175731182098389,4.147057771682739,3.1294846534729004
small_2,512,1,0.0040204524993896484,0.9090275764465332,0.09572172164916992,1.0087697505950928,0,4.14706015586853,5.155837059020996,1.0087769031524658
large_2,1536,3,0.008332967758178711,3.0179567337036133,0.09615969657897949,3.1224493980407715,0,5.155839204788208,8.278296947479248,3.12245774269104
small_1,512,1,0.0046939849853515625,0.9111976623535156,0.13055992126464844,1.0464515686035156,1,4.5299530029296875e-06,1.0464675426483154,1.0464630126953125
large_1,1536,3,0.008716821670532227,3.015472173690796,0.10007905960083008,3.124268054962158,1,1.046471357345581,4.170748233795166,3.124276876449585
small_2,512,1,0.0045354366302490234,0.9083609580993652,0.1007232666015625,1.0136196613311768,1,4.170750379562378,5.184377908706665,1.013627529144287
large_2,1536,3,0.00833439826965332,3.0134661197662354,0.0987844467163086,3.1205849647521973,1,5.184380769729614,8.304973602294922,3.1205928325653076
small_1,512,1,0.004220008850097656,0.9097874164581299,0.09446549415588379,1.0084729194641113,2,4.76837158203125e-06,1.008488416671753,1.008483648300171
large_1,1536,3,0.008569955825805664,3.0517466068267822,0.11972427368164062,3.1800408363342285,2,1.0084917545318604,4.188540697097778,3.180048942565918
small_2,512,1,0.005415678024291992,0.9031074047088623,0.13096857070922852,1.0394916534423828,2,4.1885435581207275,5.228044748306274,1.0395011901855469
large_2,1536,3,0.008759737014770508,3.0501973628997803,0.1007084846496582,3.159665584564209,2,5.228048324584961,8.387722969055176,3.159674644470215
