workload_id,memory_mb,target_duration_sec,alloc_time_sec,exec_time_sec,free_time_sec,total_time_sec,trial,arrival_time,completion_time,turnaround_time,status
small_1,512,1,0.003921031951904297,1.6851797103881836,0.6539514064788818,2.3430521488189697,0,0.0004456043243408203,2.343508005142212,2.343062400817871,success
small_2,512,1,0.2600536346435547,2.055992841720581,0.8860645294189453,3.202111005783081,0,1.000812292098999,4.20293664932251,3.2021243572235107,success
large_1,1536,3,0.0665898323059082,3.6354494094848633,0.06462955474853516,3.7666687965393066,0,0.5007460117340088,4.267428874969482,3.7666828632354736,success
large_2,1536,3,0.3336212635040283,3.0459816455841064,0.0950620174407959,3.4746649265289307,0,1.5018272399902344,4.976507663726807,3.4746804237365723,success
small_1,512,1,0.005620241165161133,1.6851296424865723,0.6548943519592285,2.345644235610962,1,0.00023055076599121094,2.34588623046875,2.345655679702759,success
small_2,512,1,0.2588639259338379,2.4687886238098145,0.5576879978179932,3.2853405475616455,1,1.0031046867370605,4.2884604930877686,3.285355806350708,success
large_1,1536,3,0.06703519821166992,3.7183291912078857,0.0716559886932373,3.857020378112793,1,0.5029561519622803,4.3599913120269775,3.8570351600646973,success
large_2,1536,3,0.3319411277770996,3.009956121444702,0.10130000114440918,3.443197250366211,1,1.5050787925720215,4.94829249382019,3.443213701248169,success
small_1,512,1,0.0043256282806396484,1.6846020221710205,0.6523985862731934,2.3413262367248535,2,0.00047469139099121094,2.341811180114746,2.341336488723755,success
small_2,512,1,0.25820374488830566,2.0543899536132812,0.930861234664917,3.243454933166504,2,1.0008845329284668,4.244354486465454,3.2434699535369873,success
large_1,1536,3,0.0661168098449707,3.792602300643921,0.47231507301330566,4.331034183502197,2,0.5007662773132324,4.831813335418701,4.331047058105469,success
large_2,1536,3,0.3310739994049072,3.1281702518463135,0.09235286712646484,3.5515971183776855,2,1.5023934841156006,5.054003953933716,3.5516104698181152,success
