workload_id,memory_mb,target_duration_sec,alloc_time_sec,exec_time_sec,free_time_sec,total_time_sec,trial,submission_time,completion_time,turnaround_time,status
small_1,512,1,0.004103899002075195,1.6662836074829102,0.6574015617370605,2.327789068222046,0,0.0004761219024658203,2.328275680541992,2.3277995586395264,success
small_2,512,1,0.24569058418273926,2.0481817722320557,0.9610378742218018,3.2549102306365967,0,1.000770092010498,4.255694627761841,3.2549245357513428,success
large_1,1536,3,0.06142592430114746,3.7275633811950684,0.5465261936187744,4.33551549911499,0,0.5005416870117188,4.83607029914856,4.335528612136841,success
large_2,1536,3,0.31450581550598145,3.1869421005249023,0.0906679630279541,3.592115879058838,0,1.5008399486541748,5.092969655990601,3.592129707336426,success
small_1,512,1,0.004334926605224609,1.6655645370483398,0.651132345199585,2.3210318088531494,1,0.0006551742553710938,2.3216984272003174,2.3210432529449463,success
small_2,512,1,0.24485397338867188,2.0471742153167725,0.9234485626220703,3.2154767513275146,1,1.001323938369751,4.2168145179748535,3.2154905796051025,success
large_1,1536,3,0.06198906898498535,3.766063690185547,0.465334415435791,4.293387174606323,1,0.5003423690795898,4.793745994567871,4.293403625488281,success
large_2,1536,3,0.31200218200683594,3.152416467666626,0.07878255844116211,3.543201208114624,1,1.5033278465270996,5.046544075012207,3.5432162284851074,success
small_1,512,1,0.004374504089355469,1.6644387245178223,0.6508970260620117,2.3197102546691895,2,0.0006608963012695312,2.3203818798065186,2.319720983505249,success
small_2,512,1,0.2418069839477539,2.8657939434051514,1.0216355323791504,4.129236459732056,2,1.002464771270752,5.131722450256348,4.129257678985596,success
large_1,1536,3,0.06017804145812988,4.1335906982421875,0.43654894828796387,4.630317687988281,2,0.501469612121582,5.131797790527344,4.630328178405762,success
large_2,1536,3,0.3104677200317383,3.317434549331665,0.09841513633728027,3.7263174057006836,2,1.504002571105957,5.230334520339966,3.726331949234009,success
