workload_id,memory_mb,target_duration_sec,alloc_time_sec,exec_time_sec,free_time_sec,total_time_sec,trial,submission_time,completion_time,turnaround_time
job_1,1024,2,0.20098590850830078,1.9775354862213135,0.09310579299926758,2.271627187728882,0,2.1457672119140625e-06,2.2716424465179443,2.2716403007507324
job_2,1024,2,0.006807565689086914,1.9969680309295654,0.1367175579071045,2.140493154525757,0,2.271646499633789,4.412149429321289,2.1405029296875
job_3,1024,2,0.0069048404693603516,1.996985673904419,0.11954975128173828,2.1234402656555176,0,4.4121527671813965,6.5356035232543945,2.123450756072998
job_4,1024,2,0.0071582794189453125,1.9954450130462646,0.09363484382629395,2.096238136291504,0,6.535606622695923,8.631853580474854,2.0962469577789307
job_1,1024,2,0.0064678192138671875,1.9943723678588867,0.0939493179321289,2.094789505004883,1,5.4836273193359375e-06,2.0948054790496826,2.0947999954223633
job_2,1024,2,0.007054328918457031,1.9932560920715332,0.09988856315612793,2.100198984146118,1,2.0948078632354736,4.195014715194702,2.1002068519592285
job_3,1024,2,0.0069103240966796875,1.9930381774902344,0.12293457984924316,2.1228830814361572,1,4.195016860961914,6.317909002304077,2.122892141342163
job_4,1024,2,0.006899118423461914,1.9921562671661377,0.09899544715881348,2.098050832748413,1,6.317913055419922,8.415972232818604,2.0980591773986816
job_1,1024,2,0.006332874298095703,1.9911775588989258,0.09946465492248535,2.096975088119507,2,4.76837158203125e-06,2.0969901084899902,2.096985340118408
job_2,1024,2,0.007128238677978516,1.990340232849121,0.10128235816955566,2.0987508296966553,2,2.0969929695129395,4.195754051208496,2.0987610816955566
job_3,1024,2,0.007398128509521484,1.9902067184448242,0.10063958168029785,2.0982444286346436,2,4.195757627487183,6.294010162353516,2.098252534866333
job_4,1024,2,0.007124900817871094,1.9895012378692627,0.12947893142700195,2.1261050701141357,2,6.294013023376465,8.420148372650146,2.1261353492736816
